Début,Fin,Tâche,Responsable,Statut,Notes
2025-08-15,2025-08-31,Consolidation du rétroplanning et revue des besoins,O/J,Initialisé,"Réunion initiale pour définir le cadre et noter les manques (gâteau, baby‑sitter, photobooth, hébergement, animations)."
2025-09-01,2025-09-15,Envoi des Save‑the‑Date,Ophélie,À faire,"Envoyer un message simple mentionnant les dates (7/7 et 11/7) et le brunch ; environ 40 foyers."
2025-09-15,2025-10-31,Maquette et lancement des DIY (papeterie, décorations),Ophélie,À planifier,"Définir motif floral, sceller à la cire, préparer prototypes."
2025-10-01,2025-12-15,Choix du gâteau et du pâtissier,O/J,À faire,"Choisir le style du gâteau et signer le contrat."
2025-11-01,2025-12-15,Conception et commande des invitations,Ophélie,À faire,"Créer le design, finaliser les textes et passer commande."
2025-12-01,2026-02-28,Dress fittings et retouches,Ophélie,À planifier,"Planifier le premier essayage à l’automne 2025, un second en décembre et des retouches en mai/juin."
2026-01-01,2026-01-31,Envoi des invitations,Ophélie,À faire,"Envoyer les invitations officielles et les inserts ; fixer la date limite de réponse début avril."
2026-01-15,2026-02-15,Établir le plan de table prévisionnel et options d’hébergement,O/J,À planifier,"Lister invités par foyer, définir qui dormira sur place, réserver des chambres."
2026-02-01,2026-03-15,Sélectionner les baby‑sitters et le photobooth,Julien,À faire,"Contacter les prestataires, comparer les offres et réserver."
2026-03-01,2026-04-30,Finaliser la papeterie (plans de table, menus, marque‑places),Ophélie,À faire,"Imprimer menus, plan de table et pancartes."
2026-03-01,2026-05-15,Plan de salle et décorations de tables,O/J,À faire,"Définir placement, thèmes des tables, confiseries et décorations en Fimo."
2026-03-15,2026-05-31,Concevoir et produire l'arbre à vœux (laser),Beau‑frère,En cours,"Fournir gabarit SVG, dimensions (60×80 cm), 70 à 80 feuilles."
2026-03-15,2026-05-15,Concevoir les animations (blind test, chasse photo, duos, gaufres/crêpes),Julien,À faire,"Organiser matériel, playlist, questionnaires."
2026-04-01,2026-05-31,Réservation et organisation du brunch,Ophélie,À faire,"Confirmer le nombre de convives et choisir le menu."
2026-05-01,2026-06-30,Réunions de coordination avec les prestataires,O/J,À faire,"Visiter le château, valider la logistique (livraisons, montage)."
2026-05-15,2026-06-15,Finaliser les tenues (costume, accessoires),O/J,À faire,"Achat ou location du costume du marié et des témoins ; confirmer les chaussures."
2026-06-01,2026-07-06,Boucler tous les détails,Ophélie,À faire,"Finaliser le plan de table, imprimer les supports, préparer les sacs pour enfants et envoyer les confirmations finales aux prestataires."
2026-07-07,2026-07-07,Cérémonie civile,O/J,Prévue,"Cérémonie à Boulogne‑Billancourt."
2026-07-08,2026-07-10,Installation au château et répétitions,O/J,À faire,"Installer la décoration et répéter la cérémonie laïque."
2026-07-11,2026-07-11,Cérémonie laïque et réception,O/J,Prévue,"Suivre le planning du jour J."
2026-07-12,2026-07-12,Brunch de remerciements,Ophélie,Prévue,"Organisation d’un brunch convivial au château."